Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,103.48560333252,101.542083740234,106.575317382812,107.942840576172,109.829452514648,106.773551940918,106.784042358398,106.54354095459,107.687660217285,109.075309753418,..
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,62,64,59,57,60,62,64,64,66,57,57
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,88,84.3,80.8,77.6,74.6,71.9,69.4,67.1,64.8,62.7,60.7
Afghanistan,AFG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4149.14469936847,4465.70914328865,4280.93316338873,4542.92903556739,4793.59751131525,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.16333199,6.11026192,6.08504725,6.20897436,6.35884142,6.38810158,6.65018797,6.50111914,6.59002447,6.78144073,7.46513748
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.8618342722087,101.580273662891,102.067360891559,101.474954848321,105.770581813858,105.688652991606,105.324777401077,105.414970908323,104.568015324639,102.58954115148,100.020970049835
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,98,99,98,97,96,96,94,95,91
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,13.3,12.2,11.2,10.5,9.9,9.6,9.4,9.3,9.3,9.4,9.4
Albania,ALB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.64001417,4.82567501,5.63658524,5.64541769,6.01484108,6.33435678,6.00080872,5.9484539,5.9323926,5.41732121,5.63830757
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.807026512965,112.733764527322,112.067747390185,112.336630248486,111.144837219297,109.584787441309,109.072307418092,108.062271942986,107.095121871029,106.067513980116,108.531941210547
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,95,95,95,95,95,94,88,80,80,80
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,28.1,27.3,26.6,25.9,25.4,24.9,24.5,24,23.7,23.3,22.9
Algeria,DZA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Algeria,DZA,"Population, total",SP.POP.TOTL,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.587,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10375.1720141957,10383.459331451,11745.4899153958,11813.5022034589,12026.3344929488,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42746.830952263,46657.1561204071,41500.5435782722,42470.3161158563,44369.6596894579,38654.9347217207,40129.8192026671,40672.9943362327,42819.774579353,41257.8045861543,37361.090067211
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.68835258,7.62052774,6.71966314,6.79758358,6.77313089,6.91368532,6.94162941,7.07158232,7.37781096,7.32238626,8.78462029
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,84.648193359375,85.8956298828125,83.2157974243164,84.7323532104492,87.0263326910726,88.5957446808511,91.0415773681955,90.2031316123572,90.7088926174497,90.3239289446186,89.4271272114575
Andorra,AND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,98,95,96,96,97,99,99,99,98
Andorra,AND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.5,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,2.9
Andorra,AND,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,4101.63715564669,5184.15269151846,5702.45306277434,5688.57916213471,5649.68762467535,3641.72893920253,2082.37343594705,2832.14997950512,2891.83032378747,2507.86807213642,1749.1794838482
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.36373854,2.35561895,2.13677311,2.4297719,2.15680027,2.29966879,2.39068723,2.4379425,2.29887486,2.20394278,2.81688905
